category,position,budget,limit_time,response_time,top1_score,top1_distance,top1_walk_time,top1_price,top5_score,top5_distance,top5_price,budget_success,distance_score,price_score,time_score,similarity
카페,정문,10000,20,0.005489250004757196,65.0,58,1,5000.0,59.0,142.0,5000.0,True,100.0,0.0,0.0,100.0
중식,정문,7000,9,0.005503333988599479,60.71428571428571,150,3,10250.0,41.84562023121812,229.0,10250.0,False,85.71428571428571,0.0,0.0,100.0
한식,후문,7000,9,0.0055708750151097775,80.0,157,3,9000.0,72.4799333035288,181.6,9000.0,False,100.0,100.0,0.0,100.0
분식,정문,5000,11,0.005418000015197322,65.0,120,3,4625.0,53.0,280.6,4625.0,True,100.0,0.0,0.0,100.0
한식,정문,20000,20,0.005555375013500452,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.00000000000001,100.0,100.0,40.59209136330302
중식,후문,10000,17,0.005421624984592199,59.0,220,5,10250.0,41.0601762067992,263.8,10250.0,False,79.99999999999999,0.0,0.0,100.0
카페,정문,5000,13,0.005630917003145441,65.0,58,1,5000.0,59.0,142.0,5000.0,True,100.00000000000003,0.0,0.0,100.0
중식,정문,7000,16,0.0057632910029497,61.25,150,3,10250.0,44.933677097618286,229.0,10250.0,False,87.5,0.0,0.0,100.0
양식,정문,20000,17,0.005483582994202152,35.00000000000003,476,10,17333.333333333332,31.666666666666675,366.3333333333333,17333.333333333332,True,0.0,0.0,0.0,100.00000000000009
카페,후문,5000,12,0.005579333985224366,62.0,96,2,5000.0,55.718929980726514,153.0,5000.0,True,90.00000000000001,0.0,0.0,100.0
한식,후문,7000,9,0.0056400409957859665,80.0,157,3,9000.0,72.4799333035288,181.6,9000.0,False,100.0,100.0,0.0,100.0
한식,후문,10000,8,0.005611208005575463,80.0,157,3,9000.0,71.86024029566319,181.6,9000.0,True,100.0,100.0,0.0,100.0
중식,후문,10000,5,0.005516542005352676,35.0,220,5,10250.0,21.666666666666668,214.0,10250.0,False,0.0,0.0,0.0,100.0
한식,정문,15000,19,0.005566792009631172,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.0,99.99999999999999,100.0,40.59209136330302
분식,정문,10000,14,0.005422292015282437,65.0,120,3,4625.0,53.0,280.6,4625.0,True,100.0,0.0,0.0,100.0
중식,후문,20000,8,0.005504458997165784,57.50000000000001,220,5,10250.0,36.77992462320379,263.8,10250.0,True,75.0,0.0,0.0,100.00000000000003
분식,후문,5000,6,0.005483874992933124,65.0,29,1,4625.0,28.5,186.2,4625.0,True,99.99999999999999,0.0,0.0,100.0
한식,후문,15000,20,0.005557625001529232,80.0,157,3,9000.0,73.75687003544343,181.6,9000.0,True,100.0,99.99999999999999,0.0,100.0
한식,후문,10000,6,0.005536292010219768,80.0,157,3,9000.0,69.08620354347165,181.6,9000.0,True,100.0,100.0,0.0,100.0
한식,정문,20000,14,0.005567624990362674,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.00000000000001,100.0,100.0,40.59209136330302
중식,후문,7000,5,0.0054756659956183285,35.0,220,5,10250.0,21.666666666666668,214.0,10250.0,False,0.0,0.0,0.0,100.0
한식,후문,15000,6,0.005544167011976242,80.0,157,3,9000.0,69.08620354347165,181.6,9000.0,True,100.0,99.99999999999999,0.0,100.0
분식,후문,7000,18,0.005428916017990559,65.0,29,1,4625.0,42.57142857142857,207.4,4625.0,True,100.0,0.0,0.0,100.0
중식,후문,5000,5,0.00552420798339881,35.0,220,5,10250.0,21.666666666666668,214.0,10250.0,False,0.0,0.0,0.0,100.0
중식,정문,15000,6,0.005495291989063844,55.0,150,3,10250.0,30.66580122559837,190.0,10250.0,True,66.66666666666666,0.0,0.0,100.00000000000003
중식,정문,15000,8,0.005494459008332342,60.0,150,3,10250.0,41.114267454399766,190.0,10250.0,True,83.33333333333334,0.0,0.0,100.0
한식,후문,5000,7,0.005585958977462724,80.0,157,3,9000.0,70.61560675495255,181.6,9000.0,False,100.0,100.0,0.0,100.0
한식,정문,20000,19,0.005555499985348433,76.20723197715606,94,2,9000.0,69.39323004333781,159.8,9000.0,True,90.0,100.0,100.0,40.59209136330302
양식,후문,10000,16,0.005698499997379258,65.0,202,4,17333.333333333332,38.0,313.8,17333.333333333332,False,100.0,0.0,0.0,100.0
분식,정문,5000,16,0.005864667007699609,65.0,120,3,4625.0,53.0,280.6,4625.0,True,100.0,0.0,0.0,100.0
일식,후문,15000,18,0.005540209007449448,57.660102045859794,167,4,9250.0,44.557268814626035,251.0,9250.0,True,100.0,0.0,100.0,21.886005845313694
